Player 0, Player 1, Player 2, Player 3
62, 10, 10, 18, 
56, 21, 15, 8, 
50, 12, 15, 23, 
51, 24, 13, 12, 
60, 17, 11, 12, 
46, 14, 23, 17, 
55, 11, 21, 13, 
47, 20, 18, 15, 
51, 17, 19, 13, 
50, 15, 15, 20, 
55, 17, 18, 10, 
53, 21, 14, 12, 
42, 16, 20, 22, 
54, 22, 12, 12, 
51, 16, 21, 12, 
51, 20, 15, 14, 
43, 14, 18, 25, 
54, 19, 15, 12, 
56, 13, 17, 14, 
56, 16, 14, 14, 
49, 16, 23, 12, 
54, 20, 13, 13, 
55, 17, 16, 12, 
47, 17, 17, 19, 
49, 23, 17, 11, 
50, 18, 9, 23, 
55, 11, 14, 20, 
50, 17, 20, 13, 
65, 14, 11, 10, 
47, 12, 14, 27, 
58, 10, 17, 15, 
45, 18, 16, 21, 
58, 10, 14, 18, 
56, 14, 14, 16, 
60, 15, 12, 13, 
61, 13, 9, 17, 
54, 15, 12, 19, 
53, 17, 11, 19, 
49, 24, 11, 16, 
51, 18, 11, 20, 
46, 18, 20, 16, 
50, 18, 15, 17, 
48, 22, 15, 15, 
51, 13, 16, 20, 
51, 18, 17, 14, 
47, 12, 19, 22, 
42, 17, 19, 22, 
53, 15, 12, 20, 
48, 18, 18, 16, 
43, 28, 22, 7, 
54, 15, 14, 17, 
54, 21, 9, 16, 
65, 10, 14, 11, 
46, 16, 20, 18, 
61, 14, 14, 11, 
50, 15, 20, 15, 
54, 16, 13, 17, 
57, 10, 17, 16, 
51, 16, 18, 15, 
54, 14, 22, 10, 
53, 16, 13, 18, 
53, 15, 19, 13, 
57, 18, 18, 7, 
50, 17, 20, 13, 
48, 19, 13, 20, 
53, 13, 22, 12, 
51, 15, 20, 14, 
62, 11, 11, 16, 
43, 17, 20, 20, 
49, 10, 20, 21, 
54, 18, 19, 9, 
48, 21, 10, 21, 
58, 10, 16, 16, 
47, 16, 19, 18, 
58, 12, 16, 14, 
61, 17, 12, 10, 
47, 14, 20, 19, 
48, 23, 15, 14, 
50, 12, 23, 15, 
58, 18, 9, 15, 
55, 14, 15, 16, 
54, 19, 10, 17, 
51, 18, 17, 14, 
47, 23, 18, 12, 
46, 14, 19, 21, 
51, 14, 16, 19, 
54, 19, 13, 14, 
57, 15, 19, 9, 
46, 20, 18, 16, 
54, 24, 9, 13, 
47, 22, 17, 14, 
